Playlist ID,URI,Album,Song Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
76.0,1P17dC1amhFzptugyAO7Il,reputation,Look What You Made Me Do,0.766,0.709,9.0,-6.471,0.0,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853.0,4.0
77.0,5PxFv9yJEg9dxvbZggykro,reputation,So It Goes...,0.574,0.61,2.0,-7.283,1.0,0.0732,0.122,1.1e-06,0.13,0.374,74.957,227907.0,4.0
78.0,1ZY1PqizIl78geGM4xWlEA,reputation,Gorgeous,0.8,0.535,7.0,-6.684,1.0,0.135,0.0713,9.48e-06,0.213,0.451,92.027,209680.0,4.0
79.0,0VE4kBnHJUgtMf0dy6DRmW,reputation,Getaway Car,0.562,0.689,2.0,-6.745,1.0,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,233627.0,4.0
80.0,7HuBDWi18s4aJM8UFnNheH,reputation,King Of My Heart,0.675,0.703,0.0,-7.902,1.0,0.0382,0.00882,2.21e-06,0.0391,0.314,110.01,214320.0,4.0
81.0,7I7JbDv63ZJJsSi24DyJrz,reputation,Dancing With Our Hands Tied,0.624,0.691,0.0,-6.686,0.0,0.196,0.0604,1.1e-05,0.138,0.284,160.024,211507.0,4.0
82.0,6oVxXO5oQ4pTpO8RSnkzvv,reputation,Dress,0.719,0.469,0.0,-8.792,1.0,0.0533,0.0329,0.0,0.169,0.0851,120.085,230373.0,4.0
83.0,07NxDD1iKCHbAldceD7QLP,reputation,This Is Why We Can't Have Nice Things,0.567,0.789,5.0,-5.986,1.0,0.115,0.0156,0.0,0.382,0.438,163.96,207133.0,4.0
84.0,1GwMQaZz6Au3QLDbjbMdme,reputation,Call It What You Want,0.598,0.504,9.0,-9.874,1.0,0.0731,0.186,0.000221,0.34,0.252,163.954,203507.0,4.0
85.0,7F5oktn5YOsR9eR5YsFtqb,reputation,New Year’s Day,0.661,0.151,0.0,-12.864,1.0,0.0354,0.921,0.0,0.13,0.23,94.922,235467.0,4.0
86.0,43rA71bccXFGD4C8GOpIlN,Lover,I Forgot That You Existed,0.664,0.316,5.0,-10.345,1.0,0.519,0.298,2.03e-06,0.0812,0.541,92.875,170640.0,4.0
87.0,1BxfuPKGuaTgP7aM0Bbdwr,Lover,Cruel Summer,0.552,0.702,9.0,-5.707,1.0,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427.0,4.0
88.0,1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,0.359,0.543,7.0,-7.582,1.0,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307.0,4.0
89.0,3RauEVgRgj1IuWdJ9fDs70,Lover,The Man,0.777,0.658,0.0,-5.191,1.0,0.054,0.0767,0.0,0.0901,0.633,110.048,190360.0,4.0
90.0,3pHkh7d0lzM2AldUtz2x37,Lover,The Archer,0.292,0.574,0.0,-9.375,1.0,0.0401,0.12,0.00569,0.0663,0.166,124.344,211240.0,4.0
91.0,2YWtcWi3a83pdEg3Gif4Pd,Lover,I Think He Knows,0.897,0.366,0.0,-8.029,1.0,0.0569,0.00889,0.000353,0.0715,0.416,100.003,173387.0,4.0
92.0,214nt20w5wOxJnY462klLw,Lover,Miss Americana & The Heartbreak Prince,0.662,0.747,11.0,-6.926,0.0,0.0736,0.028,0.00615,0.138,0.487,150.088,234147.0,4.0
93.0,4y5bvROuBDPr5fuwXbIBZR,Lover,Paper Rings,0.811,0.719,9.0,-6.553,1.0,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,222400.0,4.0
94.0,12M5uqx0ZuwkpLp5rJim1a,Lover,Cornelia Street,0.824,0.624,0.0,-9.728,1.0,0.0827,0.781,0.000189,0.1,0.248,102.012,287267.0,4.0
95.0,2dgFqt3w9xIQRjhPtwNk3D,Lover,Death By A Thousand Cuts,0.712,0.732,4.0,-6.754,1.0,0.0629,0.454,0.0,0.319,0.313,94.071,198533.0,4.0
96.0,1LLXZFeAHK9R4xUramtUKw,Lover,London Boy,0.695,0.71,1.0,-6.639,1.0,0.05,0.0246,0.000104,0.133,0.557,157.925,190240.0,4.0
97.0,4AYtqFyFbX0Xkc2wtcygTr,Lover,Soon You’ll Get Better (feat. The Chicks),0.433,0.182,0.0,-12.566,1.0,0.0641,0.907,0.0,0.123,0.421,207.476,201587.0,4.0
98.0,5hQSXkFgbxjZo9uCwd11so,Lover,False God,0.739,0.32,11.0,-10.862,0.0,0.239,0.736,0.000147,0.111,0.351,79.97,200307.0,4.0
99.0,6RRNNciQGZEXnqk8SQ9yv5,Lover,You Need To Calm Down,0.771,0.671,2.0,-5.617,1.0,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360.0,4.0
100.0,1SymEzIT3H8UZfibCs3TYi,Lover,Afterglow,0.756,0.449,9.0,-8.746,1.0,0.0344,0.13,0.0,0.114,0.399,111.011,223293.0,4.0
101.0,2Rk4JlNc2TPmZe2af99d45,Lover,ME! (feat. Brendon Urie of Panic! At The Disco),0.61,0.83,0.0,-4.105,1.0,0.0571,0.033,0.0,0.118,0.728,182.162,193000.0,4.0
102.0,1SmiQ65iSAbPto6gPFlBYm,Lover,It’s Nice To Have A Friend,0.737,0.175,10.0,-9.912,1.0,0.0401,0.971,0.000337,0.171,0.545,70.008,150440.0,4.0
103.0,1fzAuUVbzlhZ1lJAx9PtY6,Lover,Daylight,0.557,0.496,0.0,-9.602,1.0,0.0563,0.808,0.000173,0.0772,0.265,149.983,293453.0,4.0
104.0,0Jlcvv8IykzHaSmj49uNW8,folklore,the 1,0.777,0.357,0.0,-6.942,1.0,0.0522,0.757,7.28e-06,0.108,0.172,139.883,210252.0,4.0
105.0,4R2kfaDFhslZEMJqAFNpdd,folklore,cardigan,0.613,0.581,0.0,-8.588,0.0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560.0,4.0
106.0,2Eeur20xVqfUoM3Q7EFPFt,folklore,the last great american dynasty,0.686,0.662,7.0,-8.505,1.0,0.0413,0.467,0.0023,0.109,0.706,147.922,230999.0,4.0
107.0,4pvb0WLRcMtbPGmtejJJ6y,folklore,exile (feat. Bon Iver),0.298,0.38,6.0,-8.426,1.0,0.0287,0.778,5.62e-05,0.11,0.152,75.602,285634.0,4.0
108.0,1MgV7FIyNxIG7WzMRJV5HC,folklore,my tears ricochet,0.456,0.263,0.0,-10.63,1.0,0.0332,0.806,0.0,0.0749,0.111,129.86,255894.0,4.0
109.0,0ZNU020wNYvgW84iljPkPP,folklore,mirrorball,0.553,0.413,2.0,-10.037,1.0,0.0334,0.687,2.33e-06,0.0594,0.379,110.107,208978.0,4.0
110.0,6KJqZcs9XDgVck7Lg9QOTC,folklore,seven,0.596,0.488,4.0,-10.769,1.0,0.0274,0.9,2.7e-05,0.091,0.415,94.926,208907.0,4.0
111.0,3hUxzQpSfdDqwM3ZTFQY0K,folklore,august,0.532,0.623,5.0,-9.208,1.0,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923.0,4.0
112.0,7kt9e9LFSpN1zQtYEl19o1,folklore,this is me trying,0.515,0.476,9.0,-9.843,1.0,0.0328,0.314,4.74e-05,0.171,0.412,135.886,195097.0,4.0
113.0,2NmsngXHeC1GQ9wWrzhOMf,folklore,illicit affairs,0.559,0.31,10.0,-10.445,1.0,0.0338,0.881,0.0,0.106,0.46,119.845,190898.0,4.0
114.0,6VsvKPJ4xjVNKpI8VVZ3SV,folklore,invisible string,0.653,0.452,4.0,-11.143,0.0,0.055,0.838,7.73e-05,0.108,0.45,83.433,252881.0,4.0
115.0,2QDyYdZyhlP2fp79KZX8Bi,folklore,mad woman,0.592,0.699,3.0,-8.995,1.0,0.0471,0.655,1.68e-05,0.114,0.506,141.916,237258.0,4.0
116.0,08fa9LFcFBTcilB3iq2e2A,folklore,epiphany,0.354,0.267,1.0,-13.69,1.0,0.0281,0.731,0.000402,0.0858,0.113,94.219,289749.0,4.0
117.0,5kI4eCXXzyuIUXjQra0Cxi,folklore,betty,0.593,0.377,0.0,-8.761,1.0,0.0253,0.6,0.0,0.0976,0.502,95.939,294521.0,4.0
118.0,7MbT4I8qGntX4fMdqMQgke,folklore,peace,0.647,0.272,5.0,-12.906,1.0,0.0916,0.918,1.73e-05,0.0918,0.339,150.044,234000.0,4.0
119.0,6MWoRt97mnSTXZhu3ggi9C,folklore,hoax,0.662,0.181,8.0,-15.065,1.0,0.0415,0.966,3.86e-06,0.133,0.429,118.819,220043.0,4.0
120.0,0lx2cLdOt3piJbcaXIV74f,evermore,willow,0.392,0.574,7.0,-9.195,1.0,0.17,0.833,0.00179,0.145,0.529,81.112,214707.0,4.0
121.0,0sY6ZUTh4yoctD8VIXz339,evermore,champagne problems,0.462,0.24,0.0,-12.077,1.0,0.0377,0.92,0.0,0.113,0.32,171.319,244000.0,4.0
122.0,5BK0uqwY9DNfZ630STAEaq,evermore,gold rush,0.512,0.462,9.0,-10.491,1.0,0.0408,0.83,0.166,0.121,0.353,112.05,185320.0,4.0
123.0,7dW84mWkdWE5a6lFWxJCBG,evermore,‘tis the damn season,0.575,0.434,5.0,-8.193,1.0,0.0312,0.735,6.59e-05,0.105,0.348,145.916,229840.0,4.0
124.0,0PurA4JVJ8YQgSVopY8fn6,evermore,tolerate it,0.316,0.361,9.0,-10.381,1.0,0.0488,0.878,2.67e-05,0.0797,0.221,74.952,245440.0,5.0
125.0,3RaT22zZsxVYxxKR7TAaYF,evermore,"no body, no crime (feat. HAIM)",0.546,0.613,7.0,-7.589,0.0,0.0264,0.418,0.0,0.103,0.535,79.015,215627.0,4.0
126.0,73YUReisjb3A9ActdLLjJQ,evermore,happiness,0.559,0.334,11.0,-10.733,1.0,0.0376,0.87,0.0,0.114,0.211,122.079,315147.0,4.0
127.0,670fUmXf4KQekzbEgaXyPA,evermore,dorothea,0.605,0.488,4.0,-8.322,1.0,0.0264,0.696,0.0,0.129,0.354,119.966,225880.0,4.0
128.0,3k7ne7VmH43ZPWxPdvPUgR,evermore,coney island (feat. The National),0.537,0.537,8.0,-11.266,1.0,0.0617,0.819,0.000904,0.142,0.292,107.895,275320.0,4.0
129.0,19CSr8rwW05VJL2F91KFNK,evermore,ivy,0.515,0.545,2.0,-9.277,1.0,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,260440.0,4.0
130.0,1XjHRolIXL2M1EEOUsGGR4,evermore,cowboy like me,0.604,0.517,0.0,-9.014,1.0,0.0347,0.768,0.000155,0.123,0.511,127.967,275040.0,4.0
131.0,2o2sgVJIgFXk8GQjWTgI6U,evermore,long story short,0.546,0.73,0.0,-7.704,1.0,0.0417,0.66,0.179,0.0972,0.573,157.895,215920.0,4.0
132.0,12ntTeqEeTg7GAVpe8Mhpl,evermore,marjorie,0.535,0.561,5.0,-11.609,1.0,0.0484,0.876,0.000136,0.115,0.287,96.103,257773.0,4.0
133.0,35rdVq36LMHQX0Suw9a6tK,evermore,closure,0.689,0.704,9.0,-10.813,1.0,0.245,0.835,4.83e-06,0.134,0.92,151.884,180653.0,5.0
134.0,3O5osWf1rSoKMwe6E9ZaXP,evermore,evermore (feat. Bon Iver),0.39,0.27,1.0,-10.673,1.0,0.0308,0.937,0.00227,0.111,0.32,125.177,304107.0,5.0
135.0,5jQI2r1RdgtuT8S3iG8zFC,Midnights,Lavender Haze,0.733,0.436,10.0,-10.489,1.0,0.08,0.258,0.000573,0.157,0.0976,96.985,202396.0,4.0
136.0,3eX0NZfLtGzoLUxPNvRfqm,Midnights,Maroon,0.637,0.398,7.0,-8.294,1.0,0.0564,0.0573,1.03e-06,0.101,0.0374,108.075,218271.0,4.0
137.0,0V3wPSX9ygBnCm8psDIegu,Midnights,Anti-Hero,0.637,0.643,4.0,-6.571,1.0,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690.0,4.0
